censusid,popcount,mhi,id,dname,lat,lng,admtotal,generalfundexpends,perpupilexpends,avgteachersalary,readingproficiency
2702720,1700,67688,2702720,Southland Public School District,43.6241708,-92.7431067,405.1,5708811,14092.35,54435,56.4542857
2723910,2000,79551,2723910,Central Public School District,44.7627448,-93.9034995,956.98,9205468,9619.29,54631,63.6985714
2744160,2600,51998,2744160,Worthington Public School District,43.6415789,-95.6597357,3901.98,32546249,8340.96,54647,44.4442857
2718660,1500,41895,2718660,Mahnomen Public School District,47.3456638,-95.839557,608.83,9146505,15023.09,54660,33.2942857
2703540,550,53636,2703540,Badger Public School District,48.7669679,-95.99403,221.11,3146215,14229.18,54724,69.2442857
2791449,1200,49750,2791449,Win-E-Mac School District,47.6679681,-95.9930738,475.29,5159404,10855.28,54754,66.1842857
2723010,650,52589,2723010,Mountain Lake Public Schools,43.9386145,-94.9535831,509.35,5562343,10920.47,54787,56.5842857
2718960,1900,55662,2718960,Martin County West School District,43.6844103,-94.713271,723.32,7859210,10865.47,54846,57.5257143
2718810,1200,72137,2718810,Maple Lake Public School District,45.2268294,-93.9950566,841.82,8700047,10334.81,54901,58.9857143
2728350,1500,65490,2728350,Pillager Public School District,46.3477855,-94.4646279,1166.01,10312923,8844.63,54983,59.75
2709720,1400,55460,2709720,Crookston Public School District,47.7977999,-96.5770606,1124.77,12715979,11305.4,55092,55.4271429
2700021,1400,56021,2700021,Eveleth-Gilbert School District,47.4675237,-92.4482227,889.15,11253169,12656.1,55147,60.7171429
2711880,3200,54284,2711880,Fergus Falls Public School District,46.2724241,-96.0903114,2925.35,25374444,8673.99,55153,64.8671429
2741850,1200,54950,2741850,Warroad Public School District,48.9739301,-95.0293359,992.99,12008594,12093.37,55268,66.9442857
2728970,2700,47398,2728970,Pine River-Backus Public School District,46.7413014,-94.4551872,904.8,8716103,9633.18,55275,55.38
2702760,3000,46644,2702760,Aitkin Public School District,46.5641443,-93.6489304,1177.69,12036522,10220.45,55454,57.6385714
2738850,2400,60163,2738850,Thief River Falls School District,48.0911239,-96.182704,1970.23,19967183,10134.44,55477,60.3057143
2718090,1500,69122,2718090,Lewiston-Altura Public School District,44.0024757,-91.8789758,728.06,7214946,9909.82,55517,63.0528571
2714010,450,41912,2714010,Hill City Public School District,46.9527982,-93.5237792,264.67,3787461,14310.13,55552,46.2828571
2700383,1700,57593,2700383,Morris Area Public Schools,45.6236312,-95.8931006,1041.88,10437152,10017.61,55627,60.9228571
2742330,650,46813,2742330,Wheaton Area Public School District,45.8038629,-96.4578202,365.13,4836906,13247.08,55648,64.5514286
2700099,2000,56944,2700099,Yellow Medicine East,44.7392517,-95.6553503,695.39,8244105,11855.37,55702,53.58
2712300,1400,48917,2712300,Fosston Public School District,47.5680727,-95.6958251,615.05,7021437,11416.04,55771,66.3328571
2721480,2600,52372,2721480,Mora Public School District,45.9520506,-93.2714573,1616.46,15524774,9604.18,55814,65.7842857
2728950,1200,75500,2728950,Pine Island Public School District,44.18555,-92.636086,1360.77,12474746,9167.42,55817,68.6657143
2733720,250,26563,2733720,Nett Lake Public School District,48.1299347,-93.1769195,95.98,1773774,18480.66,55843,56.6666667
2711130,1500,63804,2711130,East Grand Forks Public School District,47.9564692,-96.9232401,1911.42,17686216,9252.92,55881,54.5642857
2703060,5200,61097,2703060,Alexandria Public School District,45.9152584,-95.3865271,4201.34,45346085,10793.24,55914,65.6257143
2707350,1200,88056,2707350,Byron Public School District,44.0203987,-92.6182543,2129.25,18758087,8809.72,55919,76.0614286
2700005,2200,52576,2700005,United South Central School District,43.6790272,-93.7140255,702.56,8165950,11623.14,56002,60.7442857
2705760,1400,64831,2705760,Blooming Prairie Public School District,43.8506216,-93.0575229,760.07,7208294,9483.72,56088,63.7628571
2716980,1600,78854,2716980,Kasson-Mantorville School District,44.0248356,-92.7369572,2222.73,19343642,8702.65,56093,66.5071429
2700124,1800,50553,2700124,Fairmont Area School District,43.5982023,-94.5435189,1719.05,17712923,10303.9,56229,58.14
2713590,1800,64840,2713590,Hayfield Public School District,43.8447085,-92.8184578,708.95,6966813,9826.95,56280,48.9057143
2706240,750,46815,2706240,Brooklyn Center School District,45.067676,-93.3020893,2487.32,24748211,9949.75,56287,22.4285714
2738160,1700,71189,2738160,Stewartville Public School District,43.8471755,-92.5094271,2093.93,18817324,8986.61,56318,61.1271429
2710260,1300,66000,2710260,Dilworth-Glyndon-Felton,46.9549953,-96.550747,1605.92,15210547,9471.55,56353,62.0057143
2730090,2300,66959,2730090,Proctor Public School District,46.860097,-92.3344233,1789.77,19787213,11055.73,56413,59.7057143
2703570,2200,45381,2703570,Bagley Public School District,47.396434,-95.3651415,992.89,11000574,11079.35,56447,49.7742857
2712480,900,60048,2712480,Fulda Public School District,43.8579099,-95.629108,344.56,4745658,13773.1,56571,53.4657143
2741910,1800,86875,2741910,Watertown-Mayer Public School District,44.9437455,-93.8830768,1535.33,14911126,9712,56594,64.5914286
2709750,2900,51298,2709750,Crosby-Ironton Public School District,46.5777636,-93.9814824,1043.12,11427562,10955.17,56680,64.2871429
2733510,10000,50814,2733510,St. Cloud Public School District,45.5026164,-94.1647786,9940.85,103398210,10401.34,56694,43.7257143
2708070,1500,40507,2708070,Cass Lake-Bena Public Schools,47.3331398,-94.3905378,1158.74,21507053,18560.72,56748,35.2757143
2700128,3400,61796,2700128,Glencoe-Silver Lake School District,44.7771861,-94.1989307,1598.73,16117925,10081.71,56767,60.0785714
2712360,2300,60299,2712360,Frazee-Vergas Public School District,46.8118024,-95.5747638,912.34,9788592,10729.11,56773,61.6714286
2700125,2400,47912,2700125,Lac Qui Parle Valley School District,45.1318276,-96.073222,795.69,9193999,11554.75,56793,52.4842857
2700106,2400,58309,2700106,A.C.G.C. Public School District,45.0735832,-94.7472047,826.81,8795990,10638.47,56812,56.5114286
2700008,7200,54809,2700008,St. Louis County School District,47.7887979,-92.52573,1983.31,26947153,13586.96,56891,54.9757143
2728170,2300,63799,2728170,Pelican Rapids Public School District,46.5793316,-96.0610243,872.94,8614787,9868.7,56908,57.2542857
2703690,1500,63866,2703690,Barnum Public School District,46.5603249,-92.7112679,706.79,7844835,11099.24,56920,70.3485714
2728960,200,26313,2728960,Pine Point Public School District,46.9975863,-95.3953881,63.53,1431696,22535.75,56935,28.635
2709440,2200,70772,2709440,Rocori Public School District,45.4665725,-94.4613449,2113.89,21712045,10271.13,56975,64.53
2700130,2500,51337,2700130,Blue Earth Area Public Schools,43.6634707,-94.0614148,1047.27,11378637,10865.05,57395,54.3414286
2711760,3800,60652,2711760,Faribault Public School District,44.3094184,-93.2504574,3553,42164158,11867.2,57413,41.67
2710230,3400,59040,2710230,Detroit Lakes Public School District,46.923596,-95.7837481,2994.25,31624477,10561.74,57512,61.0257143
2721450,1500,55563,2721450,Moose Lake Public School District,46.4333463,-92.796174,633.22,6419007,10137.09,57525,54.1614286
2721420,4800,62464,2721420,Moorhead Public School District,46.8979991,-96.7204655,6857.35,72279388,10540.43,57577,52.7485714
2707410,3900,73288,2707410,Cambridge-Isanti Public School District,45.5423445,-93.260583,4962.52,49839951,10043.27,57624,62.1257143
2723400,2300,69094,2723400,New London-Spicer School District,45.2902759,-94.9950583,1536.7,15420092,10034.55,57985,69.03
