censusID,mHI,mHI_MOE,NoComp_Cnt,NoComp_Pct,YesComp_Cnt,YesCom_Pct,NoInternet_Cnt,NoInternet_Pct,YesInternet_Cnt,YesInternet_Pct
2700126,56406,3733,173,13.99676375,1063,86.00323625,247,18.85496183,1063,81.14503817
2700127,66774,5648,144,15.31914894,796,84.68085106,154,16.21052632,796,83.78947368
2700128,61796,3962,710,12.32424926,5051,87.67575074,928,15.52099013,5051,84.47900987
2700132,55145,2841,258,15.77981651,1377,84.22018349,379,21.58314351,1377,78.41685649
2700148,54347,2501,152,12.42845462,1071,87.57154538,242,18.43107388,1071,81.56892612
2700162,66680,3021,220,9.515570934,2092,90.48442907,340,13.98026316,2092,86.01973684
2700163,58721,3644,273,13.82278481,1702,86.17721519,462,21.34935305,1702,78.65064695
2700182,51385,2624,480,12.76595745,3280,87.23404255,757,18.75154818,3280,81.24845182
2700183,54236,4673,224,15.7635468,1197,84.2364532,297,19.87951807,1197,80.12048193
2700231,55702,3991,501,13.14270724,3311,86.85729276,586,15.03720811,3311,84.96279189
2702640,62591,3664,141,11.13744076,1125,88.86255924,206,15.4770849,1125,84.5229151
2702720,67688,4172,209,13.62451108,1325,86.37548892,249,15.81956798,1325,84.18043202
2702730,59118,5514,142,13.73307544,892,86.26692456,181,16.86859273,892,83.13140727
2702760,46644,2980,741,13.83495146,4615,86.16504854,1076,18.90704621,4615,81.09295379
2702910,49932,2359,443,11.43816163,3430,88.56183837,644,15.80756014,3430,84.19243986
2702930,73988,4575,446,11.34860051,3484,88.65139949,600,14.69147894,3484,85.30852106
2702970,49318,1995,1514,13.18355974,9970,86.81644026,2138,17.65774694,9970,82.34225306
2703060,61097,3459,1661,10.97238737,13477,89.02761263,2291,14.52942669,13477,85.47057331
2703150,67378,4472,523,10.76574722,4335,89.23425278,717,14.19239905,4335,85.80760095
2703180,82438,1426,5266,5.78522384,85759,94.21477616,7537,8.078588578,85759,91.92141142
2703300,60144,3447,70,10.43219076,601,89.56780924,105,14.87252125,601,85.12747875
2703450,48529,2749,1550,12.11316036,11246,87.88683964,1939,14.70610542,11246,85.29389458
2703540,53636,5333,55,10.24208566,482,89.75791434,75,13.46499102,482,86.53500898
2703570,45381,2654,438,15.52090716,2384,84.47909284,535,18.32819459,2384,81.67180541
2703660,79125,6580,255,12.58016774,1772,87.41983226,327,15.57884707,1772,84.42115293
2703690,63866,3605,215,12.20204313,1547,87.79795687,324,17.31694281,1547,82.68305719
2703750,57406,3839,202,10.38560411,1743,89.61439589,269,13.36978131,1743,86.63021869
2703870,89371,3277,235,5.428505429,4094,94.57149457,338,7.626353791,4094,92.37364621
2704050,85096,8389,195,5.936073059,3090,94.06392694,309,9.090909091,3090,90.90909091
2704440,51640,2436,1655,9.885318361,15087,90.11468164,2151,12.47824574,15087,87.52175426
