,district_name,state_code,school_code,geo_id,pop_count,mhi,mhi_moe,no_comp,yes_comp,percent_comp,percent_nocomp,no_int,yes_int,percent_int,percent_noint
2730450,"Red Lake Falls Public School District, Minnesota",27,30450,2730450,700,57708,7969,144,951,135.86,20.57,200,951,135.86,28.57
2730480,"Red Wing Public School District, Minnesota",27,30480,2730480,2500,58343,5032,955,8262,330.48,38.2,1194,8262,330.48,47.76
2730510,"Red Lake Public School District, Minnesota",27,30510,2730510,600,35919,3062,443,1457,242.83,73.83,582,1457,242.83,97.0
2731750,"Richfield Public School District, Minnesota",27,31750,2731750,4100,61358,2876,2007,18310,446.59,48.95,2677,18310,446.59,65.29
2731780,"Robbinsdale Public School District, Minnesota",27,31780,2731780,8800,66557,1958,4093,42369,481.47,46.51,5664,42369,481.47,64.36
2731800,"Rochester Public School District, Minnesota",27,31800,2731800,12000,73618,2178,3899,50929,424.41,32.49,4998,50929,424.41,41.65
2732070,"Rockford Public School District, Minnesota",27,32070,2732070,1000,86518,6575,159,3497,349.7,15.9,331,3497,349.7,33.1
2732250,"Roseau Public School District, Minnesota",27,32250,2732250,2100,62308,3017,366,2638,125.62,17.43,450,2638,125.62,21.43
2732430,"Roseville Public School District, Minnesota",27,32430,2732430,4900,64846,2386,2286,24402,498.0,46.65,2960,24402,498.0,60.41
2732460,"Rothsay Public School District, Minnesota",27,32460,2732460,400,60000,8587,77,464,116.0,19.25,96,464,116.0,24.0
2732520,"Royalton Public School District, Minnesota",27,32520,2732520,1400,63724,3107,225,1471,105.07,16.07,329,1471,105.07,23.5
2732550,"Rush City Public School District, Minnesota",27,32550,2732550,1400,65905,6599,253,2175,155.36,18.07,384,2175,155.36,27.43
2732700,"South Koochiching School District, Minnesota",27,32700,2732700,400,46750,7550,103,564,141.0,25.75,145,564,141.0,36.25
2732820,"Sartell-St. Stephen School District, Minnesota",27,32820,2732820,2100,82194,4991,388,6922,329.62,18.48,472,6922,329.62,22.48
2732850,"Sauk Centre Public School District, Minnesota",27,32850,2732850,1600,60048,3231,414,3028,189.25,25.87,621,3028,189.25,38.81
