GEOID,NAME,LAT,LON
2713980,Hibbing Public School District,47.4071146,-92.9673899
2791450,Mesabi East School District,47.4226819,-92.1921374
2714070,Hinckley-Finlayson School District,46.0433365,-92.8958254
2723970,Ogilvie Public School District,45.8379796,-93.4461391
2711085,East Central School District,46.2146579,-92.5934769
2721480,Mora Public School District,45.9520506,-93.2714573
2706060,Braham Public School District,45.7231163,-93.1987464
2702760,Aitkin Public School District,46.5641443,-93.6489304
2700008,St. Louis County School District,47.7887979,-92.52573
2700021,Eveleth-Gilbert School District,47.4675237,-92.4482227
2711040,Duluth Public School District,46.9446286,-92.0577521
2730030,Princeton Public School District,45.575971,-93.6000896
2709480,Greenway Public School District,47.3437825,-93.3505926
2723310,Nashwauk-Keewatin School District,47.3907163,-93.1490907
2703690,Barnum Public School District,46.5603249,-92.7112679
2707590,Carlton Public School District,46.611118,-92.5231059
2723820,North Branch Public Schools,45.5052345,-92.9526805
2715000,International Falls School District,48.414281,-93.2781962
2700130,Blue Earth Area Public Schools,43.6634707,-94.0614148
2703870,Becker Public School District,45.4446179,-93.8684422
2721390,Monticello Public School District,45.3003336,-93.8474812
2732700,South Koochiching School District,48.2561998,-94.0709705
2718270,Littlefork-Big Falls School District,48.2649955,-93.659864
2712240,Foley Public School District,45.709067,-93.914815
2706090,Brainerd Public School District,46.3229193,-94.1252103
2718070,Le Sueur-Henderson School District,44.4791898,-93.9252557
2733870,St. Peter Public School District,44.339203,-94.0012314
2700102,Sibley East School District,44.5680938,-94.1212062
2725050,Onamia Public School District,46.0922673,-93.7583998
2709750,Crosby-Ironton Public School District,46.5777636,-93.9814824
2718780,Mankato Public School District,44.1836039,-93.9750867
2718810,Maple Lake Public School District,45.2268294,-93.9950566
2730870,Northland Community Schools,47.0544103,-94.0510611
2728320,Pierz Public School District,45.9942788,-94.0548626
2733510,St. Cloud Public School District,45.5026164,-94.1647786
2710140,Deer River Public School District,47.5138496,-93.8474107
2713170,Grand Rapids Public School District,47.7153864,-94.3976678
2707200,Buffalo-Hanover-Montrose Public Schools,45.1478809,-93.8166389
2700005,United South Central School District,43.6790272,-93.7140255
2700006,Maple River School District,43.9061261,-93.9885016
2733480,St. Clair Public School District,44.0826578,-93.8714048
2741460,Waconia Public School District,44.8486071,-93.7998136
2741910,Watertown-Mayer Public School District,44.9437455,-93.8830768
2723910,Central Public School District,44.7627448,-93.9034995
2799999,Minnesota,46.7296,-94.6859
